organism,module,peak_phase,in_prev_top10,panel,vector,vector_main_phase,projection,cosine,abs_CAP,proj_rank,is_best_driver
Arenimonas,M2,II,False,environment,Acetate,I,0.5197,0.9325,0.5573,1,False
Chelatococcus_asaccharovorans,M1,I,False,environment,Acetate,I,0.4968,0.8275,0.6004,2,False
Flavitalea,M1,I,False,environment,Acetate,I,0.4899,0.8308,0.5897,3,False
Taibaiella,M1,I,False,environment,Acetate,I,0.4863,0.8475,0.5738,4,False
Thauera,M1,I,True,environment,Acetate,I,0.4837,0.766,0.6314,5,False
Gemmobacter,M1,I,True,environment,Acetate,I,0.4822,0.8142,0.5922,6,False
Flavobacterium,M1,I,False,environment,Acetate,I,0.4807,0.7691,0.6251,7,False
Pannonibacter,M1,II,False,environment,Acetate,I,0.4663,0.8113,0.5747,8,False
Aminobacter,M1,I,False,environment,Acetate,I,0.4651,0.7791,0.5969,9,False
Planctomycetota,M2,II,False,environment,Acetate,I,0.4647,0.8944,0.5195,10,False
Inhella,M1,I,False,environment,Acetate,I,0.4609,0.7735,0.5959,11,False
Chitinophagaceae,M2,I,False,environment,Acetate,I,0.4603,0.8633,0.5332,12,False
Cloacibacterium,M1,I,True,environment,Acetate,I,0.4585,0.7651,0.5992,13,False
Xanthobacteraceae,M1,I,False,environment,Acetate,I,0.4565,0.7866,0.5804,14,False
Niveibacterium,M1,I,False,environment,Acetate,I,0.4535,0.8349,0.5432,15,False
Kapabacteriales,M1,I,False,environment,Acetate,I,0.4436,0.7497,0.5918,16,False
Niabella,M1,I,False,environment,Acetate,I,0.4405,0.7665,0.5746,17,False
Sutterellaceae,M1,I,False,environment,Acetate,I,0.4383,0.7361,0.5954,18,False
Defluviicoccus,M2,II,False,environment,Acetate,I,0.438,0.9361,0.4679,19,False
Aurantisolimonas,M2,II,False,environment,Acetate,I,0.4351,0.8921,0.4878,20,False
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,M1,I,False,environment,Acetate,I,0.4316,0.7504,0.5752,21,False
Stenotrophomonas,M1,I,False,environment,Acetate,I,0.4235,0.7355,0.5758,22,False
Zoogloea,M1,I,True,environment,Acetate,I,0.4194,0.7554,0.5552,23,False
Sphingopyxis,M1,I,False,environment,Acetate,I,0.4184,0.7631,0.5484,24,False
Sediminibacterium,M1,I,True,environment,Acetate,I,0.4116,0.7265,0.5666,25,False
Bosea,M2,II,False,environment,Acetate,I,0.4091,0.8527,0.4798,26,False
Shinella,M2,II,False,environment,Acetate,I,0.4084,0.8555,0.4774,27,False
Pseudoxanthomonas,M2,I,True,environment,Acetate,I,0.3913,0.8587,0.4557,28,False
Pseudofulvimonas,M2,II,False,environment,Acetate,I,0.3855,0.8857,0.4353,29,False
Gammaproteobacteria,M2,II,False,environment,Acetate,I,0.3809,0.9313,0.4091,30,False
Lentimicrobium,M2,I,False,environment,Acetate,I,0.3656,0.7896,0.463,31,False
